Mass [Mearth]	Radius [Rearth]	WMF core [Mearth]	WMF mantle [Mearth]	WMF atm1 [Mearth]	WMF atm2 [Mearth]	total WMF	Teq [K]
0.499437336	1.498788314	3.68E-03	1.02E-02	0	9.18E-04	3.00E-02	1400
0.497251632	2.553613159	8.33E-03	9.20E-02	4.09E-02	0.10746136	0.499999993	700
0.783541507	2.20951301	1.94E-02	0.199730015	6.58E-02	0.107156924	0.499999993	700
1.157424072	2.110475243	4.11E-02	0.355427895	7.78E-02	0.104481994	0.499999993	700
1.633423201	2.095747037	8.14E-02	0.546043815	8.27E-02	0.100705198	0.499999993	700
2.227645964	2.128620788	0.1599013	0.778955637	8.64E-02	9.79E-02	0.499999993	700
2.945442248	2.174722241	0.287536847	1.015742132	8.59E-02	9.41E-02	0.499999993	700
3.802068975	2.222610964	0.501743705	1.222110246	8.22E-02	8.91E-02	0.499999993	700
4.827495569	2.283458036	0.825345379	1.424113559	7.83E-02	8.51E-02	0.499999993	700
6.011416805	2.340396626	1.271965064	1.560088221	7.10E-02	8.05E-02	0.499999993	700
7.37026076	2.409818143	1.869717313	1.707885794	6.54E-02	7.76E-02	0.499999993	700
10.6861252	2.532260734	3.44931535	1.823267356	4.02E-02	7.01E-02	0.499999993	700
12.6533526	2.585927664	4.430112536	1.813955694	2.38E-02	6.62E-02	0.499999993	700
14.85195739	2.648840679	5.48817495	1.86623453	9.30E-03	6.34E-02	0.499999993	700
17.29407664	2.704066667	6.704214527	1.885205879	0	5.90E-02	0.499999993	700
0.499309719	1.022278567	4.92E-03	8.88E-03	0	1.01E-03	3.00E-02	400
0.783118501	1.101276827	1.13E-02	1.11E-02	0	1.08E-03	3.00E-02	400
1.156927816	1.181850899	2.30E-02	1.08E-02	0	9.85E-04	3.00E-02	400
1.633416879	1.260048373	4.09E-02	8.10E-03	0	7.35E-04	3.00E-02	400
2.227000432	1.339004874	6.17E-02	4.97E-03	0	4.44E-04	3.00E-02	400
2.948779779	1.419592147	8.64E-02	2.21E-03	0	2.74E-04	3.00E-02	400
3.810817581	1.50427726	0.113094815	1.47E-03	0	1.83E-04	3.00E-02	400
4.82644881	1.588927271	0.144181764	9.39E-04	0	1.41E-04	3.00E-02	400
6.009354986	1.672054145	0.180085728	8.21E-04	0	1.22E-04	3.00E-02	400
7.370871776	1.753436791	0.221690241	6.59E-04	0	1.14E-04	3.00E-02	400
8.923622846	1.831911467	0.267311772	3.98E-04	0	1.09E-04	3.00E-02	400
10.68042428	1.9096614	0.320516129	4.82E-04	0	1.08E-04	3.00E-02	400
12.65384971	1.983905422	0.379582475	5.75E-04	0	1.06E-04	3.00E-02	400
14.85569847	2.057481405	0.445754521	6.84E-04	0	1.05E-04	3.00E-02	400
17.30093719	2.127065684	0.517737605	8.01E-04	0	1.03E-04	3.00E-02	400
0.497292908	1.168196818	8.00E-03	3.32E-02	0	6.74E-03	1.00E-01	400
0.782480443	1.228341656	1.80E-02	5.31E-02	0	7.08E-03	1.00E-01	400
1.157852624	1.294880029	3.70E-02	7.24E-02	0	6.44E-03	1.00E-01	400
1.6341262	1.371871671	7.42E-02	8.26E-02	0	6.27E-03	1.00E-01	400
2.226708084	1.44857658	0.134821595	8.20E-02	0	5.67E-03	1.00E-01	400
2.948806737	1.525801792	0.219055517	7.15E-02	0	4.70E-03	1.00E-01	400
3.81103322	1.602028838	0.322849225	5.60E-02	0	3.64E-03	1.00E-01	400
4.827913136	1.678455189	0.439273452	4.13E-02	0	2.75E-03	1.00E-01	400
6.010308801	1.756102046	0.56904926	3.25E-02	0	2.21E-03	1.00E-01	400
